Data	Price	Class
jul-91	1063.41	Zn
ago-91	1047.74	Zn
set-91	1025.60	Zn
out-91	991.65	Zn
nov-91	1100.65	Zn
dez-91	1185.08	Zn
jan-92	1157.66	Zn
fev-92	1135.48	Zn
mar-92	1217.77	Zn
abr-92	1304.95	Zn
mai-92	1377.74	Zn
jun-92	1385.41	Zn
jul-92	1320.41	Zn
ago-92	1363.40	Zn
set-92	1367.12	Zn
out-92	1158.36	Zn
nov-92	1052.24	Zn
dez-92	1061.48	Zn
jan-93	1067.57	Zn
fev-93	1073.63	Zn
mar-93	996.76	Zn
abr-93	1006.00	Zn
mai-93	979.26	Zn
jun-93	928.23	Zn
jul-93	930.07	Zn
ago-93	886.83	Zn
set-93	875.73	Zn
out-93	918.57	Zn
nov-93	929.39	Zn
dez-93	975.53	Zn
jan-94	998.60	Zn
fev-94	969.75	Zn
mar-94	937.61	Zn
abr-94	924.34	Zn
mai-94	956.71	Zn
jun-94	966.00	Zn
jul-94	962.64	Zn
ago-94	946.91	Zn
set-94	993.55	Zn
out-94	1059.55	Zn
nov-94	1150.27	Zn
dez-94	1112.75	Zn
jan-95	1154.81	Zn
fev-95	1030.68	Zn
mar-95	1021.70	Zn
abr-95	1059.14	Zn
mai-95	1036.62	Zn
jun-95	1007.77	Zn
jul-95	1028.06	Zn
ago-95	1015.48	Zn
set-95	988.03	Zn
out-95	980.43	Zn
nov-95	1033.19	Zn
dez-95	1017.16	Zn
jan-96	1019.69	Zn
fev-96	1035.83	Zn
mar-96	1063.25	Zn
abr-96	1043.95	Zn
mai-96	1036.55	Zn
jun-96	1009.40	Zn
jul-96	1000.52	Zn
ago-96	1007.95	Zn
set-96	998.98	Zn
out-96	1002.72	Zn
nov-96	1044.31	Zn
dez-96	1036.55	Zn
jan-97	1086.14	Zn
fev-97	1178.16	Zn
mar-97	1254.34	Zn
abr-97	1240.02	Zn
mai-97	1310.13	Zn
jun-97	1354.98	Zn
jul-97	1517.02	Zn
ago-97	1650.63	Zn
set-97	1638.29	Zn
out-97	1276.67	Zn
nov-97	1171.15	Zn
dez-97	1101.26	Zn
jan-98	1096.25	Zn
fev-98	1043.20	Zn
mar-98	1046.75	Zn
abr-98	1096.18	Zn
mai-98	1060.37	Zn
jun-98	1007.60	Zn
jul-98	1043.50	Zn
ago-98	1029.05	Zn
set-98	999.64	Zn
out-98	941.36	Zn
nov-98	965.95	Zn
dez-98	961.58	Zn
jan-99	931.75	Zn
fev-99	1017.60	Zn
mar-99	1028.80	Zn
abr-99	1018.18	Zn
mai-99	1039.92	Zn
jun-99	999.91	Zn
jul-99	1071.23	Zn
ago-99	1129.69	Zn
set-99	1192.93	Zn
out-99	1147.98	Zn
nov-99	1146.39	Zn
dez-99	1185.24	Zn
jan-00	1178.58	Zn
fev-00	1098.25	Zn
mar-00	1113.00	Zn
abr-00	1132.52	Zn
mai-00	1154.07	Zn
jun-00	1116.19	Zn
jul-00	1135.91	Zn
ago-00	1172.55	Zn
set-00	1221.67	Zn
out-00	1091.61	Zn
nov-00	1058.68	Zn
dez-00	1059.33	Zn
jan-01	1032.70	Zn
fev-01	1021.58	Zn
mar-01	1005.62	Zn
abr-01	970.14	Zn
mai-01	937.96	Zn
jun-01	896.93	Zn
jul-01	853.30	Zn
ago-01	830.03	Zn
set-01	799.51	Zn
out-01	761.74	Zn
nov-01	774.35	Zn
dez-01	757.97	Zn
jan-02	794.20	Zn
fev-02	773.47	Zn
mar-02	820.00	Zn
abr-02	807.58	Zn
mai-02	768.25	Zn
jun-02	769.42	Zn
jul-02	795.01	Zn
ago-02	748.81	Zn
set-02	756.18	Zn
out-02	755.09	Zn
nov-02	764.57	Zn
dez-02	794.26	Zn
jan-03	782.32	Zn
fev-03	785.64	Zn
mar-03	790.30	Zn
abr-03	756.73	Zn
mai-03	776.10	Zn
jun-03	790.64	Zn
jul-03	828.48	Zn
ago-03	815.20	Zn
set-03	818.92	Zn
out-03	900.08	Zn
nov-03	914.21	Zn
dez-03	976.76	Zn
jan-04	1015.89	Zn
fev-04	1085.79	Zn
mar-04	1101.80	Zn
abr-04	1028.91	Zn
mai-04	1030.96	Zn
jun-04	1018.84	Zn
jul-04	988.08	Zn
ago-04	976.77	Zn
set-04	980.00	Zn
out-04	1066.93	Zn
nov-04	1100.20	Zn
dez-04	1182.12	Zn
jan-05	1245.53	Zn
fev-05	1323.08	Zn
mar-05	1373.93	Zn
abr-05	1297.79	Zn
mai-05	1245.51	Zn
jun-05	1273.10	Zn
jul-05	1196.83	Zn
ago-05	1300.72	Zn
set-05	1396.65	Zn
out-05	1483.20	Zn
nov-05	1610.64	Zn
dez-05	1819.33	Zn
jan-06	2091.75	Zn
fev-06	2219.73	Zn
mar-06	2427.65	Zn
abr-06	3068.34	Zn
mai-06	3544.64	Zn
jun-06	3197.59	Zn
jul-06	3320.74	Zn
ago-06	3339.97	Zn
set-06	3394.06	Zn
out-06	3829.60	Zn
nov-06	4378.61	Zn
dez-06	4381.45	Zn
jan-07	3784.86	Zn
fev-07	3321.38	Zn
mar-07	3256.18	Zn
abr-07	3566.86	Zn
mai-07	3847.52	Zn
jun-07	3628.65	Zn
jul-07	3546.30	Zn
ago-07	3244.17	Zn
set-07	2887.60	Zn
out-07	2979.99	Zn
nov-07	2554.60	Zn
dez-07	2378.60	Zn
jan-08	2364.41	Zn
fev-08	2458.48	Zn
mar-08	2511.18	Zn
abr-08	2278.51	Zn
mai-08	2178.33	Zn
jun-08	1906.17	Zn
jul-08	1856.45	Zn
ago-08	1734.65	Zn
set-08	1744.52	Zn
out-08	1303.00	Zn
nov-08	1169.36	Zn
dez-08	1112.90	Zn
jan-09	1202.52	Zn
fev-09	1118.00	Zn
mar-09	1223.22	Zn
abr-09	1388.14	Zn
mai-09	1492.52	Zn
jun-09	1556.77	Zn
jul-09	1580.86	Zn
ago-09	1818.01	Zn
set-09	1879.15	Zn
out-09	2070.84	Zn
nov-09	2196.55	Zn
dez-09	2374.04	Zn
jan-10	2414.66	Zn
fev-10	2158.80	Zn
mar-10	2277.26	Zn
abr-10	2367.50	Zn
mai-10	1969.79	Zn
jun-10	1746.51	Zn
jul-10	1847.03	Zn
ago-10	2047.48	Zn
set-10	2150.94	Zn
out-10	2373.56	Zn
nov-10	2283.30	Zn
dez-10	2287.32	Zn
jan-11	2375.81	Zn
fev-11	2473.45	Zn
mar-11	2341.48	Zn
abr-11	2371.48	Zn
mai-11	2159.60	Zn
jun-11	2234.47	Zn
jul-11	2397.75	Zn
ago-11	2199.24	Zn
set-11	2075.22	Zn
out-11	1871.42	Zn
nov-11	1935.32	Zn
dez-11	1911.15	Zn
jan-12	1989.23	Zn
fev-12	2057.79	Zn
mar-12	2035.93	Zn
abr-12	2002.68	Zn
mai-12	1928.01	Zn
jun-12	1855.93	Zn
jul-12	1847.75	Zn
ago-12	1816.32	Zn
set-12	2009.85	Zn
out-12	1903.96	Zn
nov-12	1912.40	Zn
dez-12	2040.43	Zn
jan-13	2031.41	Zn
fev-13	2128.69	Zn
mar-13	1929.15	Zn
abr-13	1855.60	Zn
mai-13	1831.01	Zn
jun-13	1839.01	Zn
jul-13	1837.62	Zn
ago-13	1896.39	Zn
set-13	1846.88	Zn
out-13	1884.84	Zn
nov-13	1866.42	Zn
dez-13	1974.98	Zn
jan-14	2036.93	Zn
fev-14	2034.53	Zn
mar-14	2007.90	Zn
abr-14	2027.21	Zn
mai-14	2058.98	Zn
jun-14	2128.10	Zn
jul-14	2310.62	Zn
ago-14	2326.99	Zn
set-14	2294.59	Zn
out-14	2276.83	Zn
nov-14	2253.225	Zn
dez-14	2175.761905	Zn
jan-15	2113.047619	Zn
fev-15	2097.7625	Zn
mar-15	2028.727273	Zn
abr-15	2212.725	Zn
mai-15	2281.802632	Zn
jun-15	2082.090909	Zn
jul-15	2000.684783	Zn
ago-15	1807.6375	Zn
set-15	1720.227273	Zn
out-15	1724.340909	Zn
nov-15	1583.309524	Zn
dez-15	1527.785714	Zn
jan-16	1520.3625	Zn
fev-16	1709.845238	Zn
mar-16	1801.690476	Zn
abr-16	1855.37381	Zn
mai-16	1869.025	Zn
jun-16	2026.193182	Zn
jul-16	2183.25	Zn
ago-16	2279.136364	Zn
set-16	2292.306818	Zn
out-16	2311.5	Zn
nov-16	2566.204545	Zn
dez-16	2664.8125	Zn
jan-17	2714.797619	Zn
fev-17	2845.55	Zn
mar-17	2776.880435	Zn
abr-17	2614.916667	Zn
mai-17	2590.214286	Zn
jun-17	2573.397727	Zn
jul-17	2787.190476	Zn
ago-17	2980.727273	Zn
set-17	3116.857143	Zn
out-17	3264.602273	Zn
nov-17	3229.306818	Zn
dez-17	3195.947368	Zn
jan-18	3441.522727	Zn
fev-18	3532.9	Zn
mar-18	3269.178571	Zn
abr-18	3188.05	Zn
mai-18	3059.869048	Zn
jun-18	3088.571429	Zn
jul-18	2656.125	Zn
ago-18	2512	Zn
set-18	2434.675	Zn
out-18	2673.673913	Zn
nov-18	2595.693182	Zn
dez-18	2616.289474	Zn
jan-19	2569.704545	Zn
fev-19	2707.1875	Zn
mar-19	2850.595238	Zn
abr-19	2932.65	Zn
mai-19	2742.809524	Zn
jun-19	2601.225	Zn
jul-19	2446.51087	Zn
