data	al	cu	ni	zn
1989M8	1798.000	2760.185	12910.000	1726.00
1989M9	1718.000	2883.643	11222.000	1626.00
1989M10	1820.000	2859.392	10425.000	1583.00
1989M11	1736.000	2590.429	9793.000	1435.00
1989M12	1633.000	2418.468	8809.000	1450.00
1990M1	1528.000	2365.557	7056.000	1294.00
1990M2	1454.000	2358.943	6977.000	1394.00
1990M3	1567.000	2625.703	9267.000	1666.00
1990M4	1526.000	2685.227	8939.000	1686.00
1990M5	1527.000	2740.342	8698.000	1775.00
1990M6	1566.000	2583.815	8422.000	1715.00
1990M7	1571.000	2769.003	9318.000	1637.00
1990M8	1782.000	2956.396	10957.000	1615.00
1990M9	2067.000	3040.171	10844.000	1537.00
1990M10	1946.000	2742.547	9145.000	1353.00
1990M11	1618.000	2583.815	8587.000	1278.00
1990M12	1522.000	2484.607	8158.000	1265.00
1991M1	1515.000	2447.128	8569.000	1206.00
1991M2	1505.000	2447.128	8672.000	1188.00
1991M3	1496.000	2409.649	8700.000	1199.00
1991M4	1392.000	2471.379	9023.000	1254.00
1991M5	1299.950	2340.425	8499.609	1127.74
1991M6	1283.550	2218.068	8296.500	1067.45
1991M7	1297.547	2231.255	8515.201	1063.41
1991M8	1259.693	2236.187	8154.750	1047.74
1991M9	1212.095	2318.583	7675.953	1025.60
1991M10	1152.955	2360.646	7453.863	991.65
1991M11	1134.925	2375.660	7258.500	1100.65
1991M12	1099.526	2205.918	7140.264	1185.08
1992M1	1181.227	2150.580	7531.137	1157.66
1992M2	1270.750	2208.892	7888.000	1135.48
1992M3	1282.023	2231.786	7430.455	1217.77
1992M4	1317.125	2214.167	7417.951	1304.95
1992M5	1306.711	2219.315	7333.947	1377.74
1992M6	1275.273	2296.442	7202.363	1385.41
1992M7	1314.348	2527.285	7516.174	1320.41
1992M8	1305.550	2513.470	7279.750	1363.40
1992M9	1270.214	2419.614	6918.572	1367.12
1992M10	1180.841	2262.457	6322.500	1158.36
1992M11	1162.214	2161.789	5593.715	1052.24
1992M12	1209.024	2211.950	5751.190	1061.48
1993M1	1208.100	2264.214	5948.100	1067.57
1993M2	1203.150	2212.181	6050.750	1073.63
1993M3	1150.478	2152.380	5974.913	996.76
1993M4	1110.275	1953.621	5987.500	1006.00
1993M5	1125.421	1799.352	5777.790	979.26
1993M6	1168.091	1857.871	5544.318	928.23
1993M7	1203.182	1927.340	5051.182	930.07
1993M8	1172.762	1951.071	4740.476	886.83
1993M9	1116.909	1858.250	4376.045	875.73
1993M10	1089.429	1647.000	4464.857	918.57
1993M11	1040.023	1632.568	4642.273	929.39
1993M12	1091.350	1723.625	5139.800	975.53
1994M1	1170.000	1807.071	5584.048	998.60
1994M2	1270.525	1865.075	5830.100	969.75
1994M3	1287.696	1913.174	5590.435	937.61
1994M4	1277.289	1881.368	5400.263	924.34
1994M5	1321.048	2144.500	6082.857	956.71
1994M6	1402.364	2363.091	6287.045	966.00
1994M7	1491.952	2447.238	6230.571	962.64
1994M8	1457.068	2409.750	5856.136	946.91
1994M9	1571.091	2504.841	6370.682	993.55
1994M10	1694.262	2546.024	6735.857	1059.55
1994M11	1885.886	2803.545	7474.545	1150.27
1994M12	1878.375	2980.700	8540.650	1112.75
1995M1	2059.357	3003.262	9596.190	1154.81
1995M2	1905.450	2870.450	8431.250	1030.68
1995M3	1799.978	2919.674	7522.391	1021.70
1995M4	1849.444	2894.889	7405.000	1059.14
1995M5	1765.476	2771.571	7262.381	1036.62
1995M6	1775.795	2987.682	7877.273	1007.77
1995M7	1867.275	3076.450	8618.000	1028.06
1995M8	1890.045	3040.136	8931.818	1015.48
1995M9	1761.725	2910.425	8397.250	988.03
1995M10	1671.955	2810.068	8068.864	980.43
1995M11	1655.929	2981.619	8498.096	1033.19
1995M12	1657.816	2918.211	8074.210	1017.16
1996M1	1584.476	2605.000	7870.714	1019.69
1996M2	1594.571	2544.667	8198.500	1035.83
1996M3	1614.857	2563.350	8046.400	1063.25
1996M4	1587.400	2594.175	8047.000	1043.95
1996M5	1593.857	2658.762	8042.857	1036.55
1996M6	1485.750	2177.600	7713.158	1009.40
1996M7	1460.022	1983.935	7202.609	1000.52
1996M8	1466.786	2017.857	7037.619	1007.95
1996M9	1405.762	1935.071	7329.810	998.98
1996M10	1336.022	1960.196	7028.696	1002.72
1996M11	1451.048	2215.429	6960.714	1044.31
1996M12	1500.976	2264.595	6571.048	1036.55
1997M1	1575.136	2427.273	7069.136	1086.14
1997M2	1582.053	2406.632	7736.579	1178.16
1997M3	1631.184	2420.184	7893.210	1254.34
1997M4	1561.114	2389.318	7313.136	1240.02
1997M5	1625.450	2513.300	7476.000	1310.13
1997M6	1567.190	2611.286	7060.000	1354.98
1997M7	1591.587	2449.196	6832.739	1517.02
1997M8	1710.025	2250.100	6764.450	1650.63
1997M9	1611.619	2104.310	6498.286	1638.29
1997M10	1607.326	2050.696	6373.478	1276.67
1997M11	1598.325	1918.500	6137.250	1171.15
1997M12	1530.524	1761.452	5942.381	1101.26
1998M1	1485.475	1687.600	5489.000	1096.25
1998M2	1465.175	1664.000	5367.250	1043.20
1998M3	1438.318	1747.159	5397.045	1046.75
1998M4	1417.550	1800.125	5391.000	1096.18
1998M5	1364.316	1731.658	5016.842	1060.37
1998M6	1305.524	1656.595	4456.905	1007.60
1998M7	1312.667	1655.667	4332.619	1043.50
1998M8	1310.550	1619.925	4078.000	1029.05
1998M9	1341.886	1646.773	4100.909	999.64
1998M10	1303.705	1585.500	3870.455	941.36
1998M11	1295.300	1573.725	4117.250	965.95
1998M12	1250.395	1475.763	3865.763	961.58
1999M1	1219.400	1432.000	4264.000	931.75
1999M2	1186.475	1412.950	4623.250	1017.60
1999M3	1179.864	1378.477	5002.955	1028.80
